,Eventdata
53,"[[], [[7.0, 0.6711879155639889, 0.0029174421502232047, 2.0, 2, 0.5186178845890612, 0.002031581862674788], 0], [], [0.7588009238243103, 0.14744558930397034, 0.09375347197055817], 0]"
54,"[[], [], [], [0.0706355944275856, 0.5655162930488586, 0.36384814977645874], 0]"
55,"[[], [], [], [0.7604444622993469, 0.15060263872146606, 0.08895287662744522], 0]"
56,"[[[14.0, 0.23496746084523104, 0.045303314004463746, 1.0, 27, 0.16661992159873723, 0.010111525556931893], 0], [], [], [0.727571427822113, 0.14552530646324158, 0.12690329551696777], 0]"
57,"[[], [[12.0, 0.29181976182785907, 0.06226145711163107, 3.0, 13, 0.19458913188688193, 0.009140174000271941], 0], [[12.0, 0.5684214750038498, 0.06192074070651348, 0.0, 2, 0.49505768528441507, -407511.0815641646], 0], [0.7969352006912231, 0.1325274258852005, 0.07053738832473755], 0]"
58,"[[[34.0, 0.49380810271255754, 0.0552845635947328, 0.0, 0, 0.4281335704406244, 0.015605191945552481], 0], [], [], [0.0876564085483551, 0.5548896193504333, 0.35745400190353394], 0]"
59,"[[], [[22.0, 0.34123463514379476, 0.10769789718426227, 0.0, 10, 0.20769919427036707, 15.799187159885612], 0], [], [0.12066676467657089, 0.7792317867279053, 0.10010146349668503], 0]"
60,"[[[20.0, 0.26742624457018055, 0.03279808965817472, 3.0, 19, 0.16151729569483692, 0.01604396782997707], 0], [], [], [0.10706636309623718, 0.5484985709190369, 0.34443503618240356], 0]"
61,"[[], [[17.0, 0.43364254133592156, 0.025776311491254367, 4.0, 12, 0.3283630405331997, 0.0038559388797965396], 0], [], [0.05079396069049835, 0.12493526935577393, 0.8242707848548889], 0]"
62,"[[], [[35.0, 0.4095595931954507, 0.011693983681148436, 3.0, 25, 0.3668477658080207, 0.002761960578724111], 0], [[35.0, 0.22848270586039685, 1.2457092331916726, 2.0, 18, 0.11328035684916946, -608722.6572662902], 1], [0.7921181321144104, 0.10782983154058456, 0.10005201399326324], 0]"
63,"[[[5.0, 0.2966477491439237, 0.0658378799429268, 7.0, 21, 0.20771094183229724, 0.013978066455105619], 0], [], [[5.0, 0.7429898092326284, 0.04084506778159333, 0.0, 0, 0.7172078290911278, -365109.8983554406], 1], [0.0558219850063324, 0.37934210896492004, 0.5648359060287476], 0]"
64,"[[], [[39.0, 0.3127719459799194, 0.03219963166379162, 1.0, 19, 0.23364708496690528, 0.006543946313046396], 1], [], [0.859192967414856, 0.114473856985569, 0.02633315697312355], 0]"
65,"[[[16.0, 0.47932108149002217, 0.026923703839918805, 5.0, 13, 0.44331299221515424, 0.005898504142383542], 0], [], [[16.0, 0.35107624501260765, 0.0862265028257039, 4.0, 6, 0.1974733853797019, -343844.01575157896], 0], [0.16216950118541718, 0.5715506672859192, 0.26627984642982483], 0]"
66,"[[], [[21.0, 0.330757126269128, 0.04183765575721344, 3.0, 9, 0.23865110246433205, 0.005687742898422449], 0], [], [0.5800268054008484, 0.3090992867946625, 0.11087391525506973], 0]"
67,"[[[19.0, 0.35144988039776137, 0.01534985258614057, 4.0, 20, 0.21533010004116185, 0.0018794073822711798], 0], [], [], [0.8475486636161804, 0.08823349326848984, 0.06421783566474915], 0]"
68,"[[], [[16.0, 0.35444077434797744, 0.030441622540614235, 1.0, 9, 0.1838375552755013, 0.005085292124098262], 1], [], [0.7784740924835205, 0.13509990274906158, 0.0864260196685791], 0]"
69,"[[[17.0, 0.37863707648228606, 0.047198380491726186, 0.0, 12, 0.2945091872563169, 0.015952612133589977], 0], [], [], [0.06533055007457733, 0.3857139050960541, 0.5489555597305298], 0]"
70,"[[[5.0, 0.4044559942625134, 0.08335520846478976, 0.0, 0, 0.2673168592357453, 0.01953910718858251], 0], [], [[5.0, 0.4556461488892064, 0.039373816979903505, 4.0, 12, 0.3746382637675352, 0.008601114094729202], 0], [0.4947827160358429, 0.25382232666015625, 0.25139495730400085], 0]"
71,"[[[22.0, 0.3511025212113575, 0.027252260891727068, 0.0, 12, 0.1797894017030832, 0.008329694007645126], 0], [], [], [0.1298532783985138, 0.7824174165725708, 0.08772929012775421], 0]"
72,"[[[24.0, 0.35386969528349776, 0.017795109426648147, 1.0, 23, 0.2995916722132179, 0.005444996334511907], 0], [], [], [0.8827740550041199, 0.05851568654179573, 0.058710288256406784], 0]"
73,"[[[26.0, 0.34656663053097353, 0.02945703999194658, 5.0, 15, 0.28127286801375573, 0.004579292306254948], 0], [[26.0, 0.4003058576753631, 0.03305405746139627, 3.0, 13, 0.279506330359597, 0.00792128515480904], 1], [], [0.1833716481924057, 0.5121802091598511, 0.30444812774658203], 0]"
74,"[[], [], [], [0.22464869916439056, 0.6597467064857483, 0.11560457199811935], 0]"
75,"[[[21.0, 0.5234101332209506, 0.04078183566124922, 0.0, 0, 0.4509078261164639, 0.006813384480237811], 1], [], [], [0.43614888191223145, 0.33545899391174316, 0.2283921092748642], 0]"
76,"[[], [[25.0, 0.18665436861898815, 0.10933252013136985, 3.0, 27, 0.07008554986836488, 0.019086560261361313], 1], [], [0.7960676550865173, 0.06057847663760185, 0.14335383474826813], 0]"
77,"[[], [[26.0, 0.36383073425927986, 0.01575786607650791, 0.0, 12, 0.2141699167801927, 0.002302802231329528], 1], [[26.0, 0.2984776476892584, 0.06717651533574259, 4.0, 16, 0.17684253281624077, -625187.9471635149], 1], [0.8973396420478821, 0.04095902666449547, 0.06170131266117096], 0]"
78,"[[], [[21.0, 0.4249212980738181, 0.06620136604050725, 0.0, 0, 0.31980174016108615, 0.014819319358507423], 0], [[21.0, 0.356742781514523, 0.037688639255843294, 2.0, 14, 0.2001688509046512, 0.008703312194568366], 0], [0.6314559578895569, 0.17412452399730682, 0.1944195032119751], 0]"
79,"[[], [[10.0, 0.4488217744570534, 0.09152353575881512, 0.0, 0, 0.35617920742040016, 14.327548080286482], 0], [], [0.26425567269325256, 0.5759216547012329, 0.15982265770435333], 0]"
80,"[[], [[7.0, 0.5625059423939602, 0.02181802879443188, 1.0, 1, 0.4011026878015162, 0.002549095198006024], 0], [], [0.0742458626627922, 0.2936314344406128, 0.6321226954460144], 0]"
81,"[[[12.0, 0.1823435546824047, 0.0788461483270606, 4.0, 26, 0.07407315570109066, 0.03225170350795495], 0], [], [], [0.09931497275829315, 0.8125134110450745, 0.08817160874605179], 0]"
82,"[[], [], [], [0.7054031491279602, 0.18595680594444275, 0.10864002257585526], 0]"
83,"[[[19.0, 0.687153445932892, 0.008875785507245817, 0.0, 0, 0.6167769863608592, 0.0029173695904815694], 1], [], [], [0.17224425077438354, 0.3578362464904785, 0.46991950273513794], 0]"
84,"[[[20.0, 0.47475310558476025, 0.055003318382477635, 0.0, 0, 0.43655528650884035, 0.013898534555497563], 0], [], [], [0.09347621351480484, 0.5300078988075256, 0.37651586532592773], 0]"
85,"[[[13.0, 0.342695267820301, 0.047445156079093956, 1.0, 11, 0.22743285978796965, 0.008654993677643497], 0], [], [], [0.10918854922056198, 0.5696142911911011, 0.32119718194007874], 0]"
86,"[[[9.0, 0.3123001336386661, 0.026723121904017235, 2.0, 32, 0.25193442134271987, 0.00628256360954545], 0], [[9.0, 0.5415017804833795, 0.011350695884281689, 3.0, 9, 0.5050150888100476, 0.001513457252903944], 1], [], [0.3560073971748352, 0.5172045826911926, 0.12678799033164978], 0]"
87,"[[], [[21.0, 0.38358197265869676, 0.06490923787973293, 1.0, 9, 0.2909772674009843, 3.1615417712495697], 0], [[21.0, 0.36216345510102294, 0.06980078274021333, 0.0, 12, 0.30297292179511454, -399613.9393029121], 1], [0.08586464077234268, 0.625162661075592, 0.2889726758003235], 0]"
88,"[[[17.0, 0.24837470759059002, 0.10871102114115225, 2.0, 14, 0.11856252353261097, 0.012941266390235344], 0], [[17.0, 0.5690457021413557, 0.03796177782686473, 0.0, 0, 0.5291082844526461, 0.008686665693554403], 1], [], [0.11707068979740143, 0.7698869705200195, 0.11304232478141785], 0]"
89,"[[], [[18.0, 0.3760417254603841, 0.06767808072860282, 1.0, 3, 0.24689745264532986, 0.011448930355135058], 0], [], [0.08927585929632187, 0.4020926356315613, 0.5086315274238586], 0]"
