,Eventdata
10388,"[[[15.0, 0.3933892074495051, 0.030030915496310595, 4.0, 10, 0.24834153626333802, 0.0023928178405134737], 1], [], [], [0.0750374123454094, 0.25102025270462036, 0.6739423274993896], 1]"
10389,"[[[16.0, 0.7611591893036141, 0.016495445893168835, 0.0, 0, 0.7495102857510513, 0.005655649350414964], 1], [[16.0, 0.5190955517419237, 0.00748075499014161, 2.0, 10, 0.4055905906641644, 0.0014158236102809467], 1], [], [0.09303571283817291, 0.5488441586494446, 0.3581201136112213], 1]"
10390,"[[], [[16.0, 0.4004091375269097, 0.06736491330054523, 0.0, 0, 0.33374889257881923, 0.019714661454268676], 1], [], [0.06211831420660019, 0.28494158387184143, 0.6529400944709778], 1]"
10391,"[[[15.0, 0.5742000305274025, 0.04395183410517291, 0.0, 0, 0.5333104248099308, 0.01003155467596826], 1], [], [], [0.09773851931095123, 0.5564962029457092, 0.34576529264450073], 1]"
10392,"[[[10.0, 0.4103324302178359, 0.01700354959745745, 4.0, 14, 0.28621854273046365, 0.004675317652660675], 1], [[10.0, 0.7628176534655485, 0.006843130964159923, 1.0, 5, 0.7550106888879193, 0.0019087191337073916], 1], [], [0.05253911763429642, 0.19162720441818237, 0.7558336853981018], 1]"
10393,"[[[23.0, 0.38480332547538393, 0.052610058144469875, 0.0, 4, 0.2730953425648853, 0.01002954977080113], 0], [], [], [0.15984050929546356, 0.6535128355026245, 0.18664665520191193], 1]"
10394,"[[[18.0, 0.3362410670215196, 0.02303804510129212, 2.0, 12, 0.20130052891099895, 0.0028601064654956328], 1], [], [], [0.5156370401382446, 0.4060309827327728, 0.07833198457956314], 1]"
10395,"[[], [[16.0, 0.800627131231057, 0.011467739816362713, 0.0, 0, 0.7981575941572816, 19.76289595096323], 1], [], [0.13725394010543823, 0.6650269627571106, 0.19771908223628998], 1]"
10396,"[[], [[16.0, 0.44349359896076584, 0.06302239765549149, 0.0, 0, 0.36944259936806645, 0.013600706148143392], 1], [], [0.06865071505308151, 0.476516455411911, 0.4548328220844269], 1]"
10397,"[[[15.0, 0.4125914867789519, 0.01613265146000226, 4.0, 14, 0.31865611806065636, 0.006810176897715379], 1], [], [], [0.10908284038305283, 0.7983173727989197, 0.09259975701570511], 1]"
10398,"[[], [], [[28.0, 0.2846907545105668, 0.06617632284470526, 8.0, 18, 0.19337863529172789, -384647.63503921125], 1], [0.1634732484817505, 0.20162218809127808, 0.6349045634269714], 1]"
10399,"[[[15.0, 0.532270320153905, 0.027816561553904398, 2.0, 2, 0.464096686809752, 0.003721040450808015], 1], [], [], [0.04924267530441284, 0.2092149257659912, 0.741542398929596], 1]"
10400,"[[[15.0, 0.4871696589401933, 0.008787677929539942, 2.0, 8, 0.3880234378090056, 0.0002786883995721149], 1], [], [], [0.8936108350753784, 0.059144601225852966, 0.04724457114934921], 1]"
10401,"[[], [[11.0, 0.6082890846276121, 0.034860754599235586, 1.0, 1, 0.4907013036144958, 0.006484701930649957], 1], [], [0.06734725832939148, 0.23863354325294495, 0.6940191984176636], 1]"
10402,"[[], [[7.0, 0.6726503354873467, 0.011311238374509201, 0.0, 0, 0.637291615934923, 0.008990830565596], 1], [], [0.05806713178753853, 0.2777446508407593, 0.6641882061958313], 1]"
10403,"[[[24.0, 0.28875319208679173, 0.043885813611336894, 2.0, 18, 0.20541634999167033, 0.007396161420431902], 1], [], [], [0.2609686255455017, 0.636750340461731, 0.10228104889392853], 1]"
10404,"[[], [[14.0, 0.5298517819062659, 0.03828833963334032, 0.0, 0, 0.4727632006471848, 0.014604597759834637], 1], [], [0.051319513469934464, 0.28026723861694336, 0.6684132814407349], 1]"
10405,"[[[33.0, 0.306678960988321, 0.030399999629705063, 2.0, 20, 0.19836729244038248, 0.00383729254329323], 1], [[33.0, 0.2803708909687491, 0.04039857653594097, 1.0, 17, 0.1915710553220493, 0.005352028322315399], 1], [], [0.09320778399705887, 0.4977922737598419, 0.4089999198913574], 1]"
10406,"[[[17.0, 0.3762041310446742, 0.021743103628141254, 0.0, 8, 0.20529953638135356, 0.002196874328143784], 1], [[17.0, 0.39106134723586994, 0.05817084037426659, 0.0, 0, 0.25599392899773127, 0.021446879419051604], 1], [], [0.10388647764921188, 0.4965132176876068, 0.3996002972126007], 1]"
10407,"[[[19.0, 0.3772767633924012, 0.049221803486670025, 3.0, 9, 0.21917452906656293, 0.008454339283271245], 0], [[19.0, 0.4482621989957067, 0.013948161738066171, 6.0, 14, 0.33220102798143364, 0.0028187198878878634], 1], [], [0.08875161409378052, 0.5495021343231201, 0.36174628138542175], 1]"
10408,"[[[10.0, 0.2202806787029013, 0.06201007507337416, 3.0, 19, 0.09832641866342212, 0.0148264640405203], 1], [[10.0, 0.4212022910953032, 0.022893328927742942, 2.0, 12, 0.3327618898378124, 0.0023012612373606483], 1], [], [0.1859791874885559, 0.602554202079773, 0.21146659553050995], 1]"
10409,"[[], [], [], [0.05267760902643204, 0.29433155059814453, 0.6529908180236816], 1]"
10410,"[[[15.0, 0.518537166939851, 0.020073681035385725, 2.0, 8, 0.45672832361419313, 0.002131732748751029], 1], [[15.0, 0.37184941178037056, 0.024818029603272115, 1.0, 9, 0.22147460816869274, 0.002478119666411021], 1], [], [0.11432799696922302, 0.48864319920539856, 0.3970288038253784], 1]"
10411,"[[[23.0, 0.3808847404522613, 0.030177762278578414, 4.0, 14, 0.2633630450772911, 0.005464639925467224], 1], [], [], [0.06592169404029846, 0.414902925491333, 0.5191753506660461], 1]"
10412,"[[], [[15.0, 0.6773712652098824, 0.026633985519836742, 0.0, 0, 0.6642759516624491, 0.009461978427546982], 1], [], [0.13213957846164703, 0.561120331287384, 0.3067401051521301], 1]"
10413,"[[], [], [], [0.11083997786045074, 0.22977176308631897, 0.6593882441520691], 1]"
10414,"[[[15.0, 0.3232387345211335, 0.03319505933051153, 0.0, 12, 0.19501545323345934, 0.003427326840382147], 1], [], [], [0.12178546190261841, 0.7683907151222229, 0.1098238006234169], 1]"
10415,"[[[14.0, 0.5178146549040008, 0.01777989340366151, 2.0, 10, 0.44996126319525737, 0.0036715387424916214], 1], [], [], [0.13189399242401123, 0.7252277135848999, 0.14287829399108887], 1]"
10416,"[[], [[14.0, 0.3927000150056841, 0.0379683904734797, 1.0, 11, 0.3152246128686053, 0.004862076211122182], 1], [], [0.0941639393568039, 0.4733746349811554, 0.4324614107608795], 1]"
10417,"[[[12.0, 0.3016583980590796, 0.038788645618602076, 4.0, 14, 0.15861336928816958, 0.007611444440160618], 1], [], [], [0.05658046156167984, 0.16917698085308075, 0.7742425799369812], 1]"
10418,"[[], [], [], [0.3467752933502197, 0.5566009283065796, 0.09662377834320068], 1]"
10419,"[[[11.0, 0.5971155830906271, 0.005268959994839054, 0.0, 4, 0.42557645537665856, 0.0019102152588408574], 1], [], [], [0.41494861245155334, 0.371717631816864, 0.21333377063274384], 1]"
10420,"[[[16.0, 0.4321522845595132, 0.02175160705676771, 1.0, 13, 0.3799453616158398, 0.010791076071023361], 1], [[16.0, 0.7917302471809653, 0.0041306927343865586, 1.0, 3, 0.785490249556798, 0.0030466663125561936], 1], [], [0.06635045260190964, 0.6197872757911682, 0.31386226415634155], 1]"
10421,"[[], [], [], [0.07766681909561157, 0.5502714514732361, 0.37206175923347473], 1]"
10422,"[[[7.0, 0.4156288810585052, 0.008547102575807281, 1.0, 11, 0.3129612454412627, 0.0014266564431391906], 1], [], [[7.0, 0.7424506819987325, 0.02030722957531411, 0.0, 0, 0.7289139112577586, -528686.3678905955], 1], [0.05360846593976021, 0.35935208201408386, 0.5870394706726074], 1]"
10423,"[[], [[15.0, 0.43442621060478054, 0.07802075005553231, 0.0, 0, 0.33843882830211613, 0.01745130816541828], 1], [], [0.07043533027172089, 0.46086108684539795, 0.46870359778404236], 1]"
10424,"[[], [[18.0, 0.30122952588378893, 0.0783046213991148, 2.0, 8, 0.15058750573294488, 0.016283340292699976], 1], [], [0.0893230214715004, 0.53536057472229, 0.3753163814544678], 1]"
10425,"[[[30.0, 0.33238248410912963, 0.03931360908195525, 4.0, 16, 0.1806565542528418, 0.004842966627936443], 1], [], [], [0.059554435312747955, 0.5526583790779114, 0.38778719305992126], 1]"
10426,"[[[15.0, 0.5440788214189873, 0.009155247387828132, 2.0, 8, 0.4845788151041138, 0.008896894189336448], 1], [], [], [0.060580283403396606, 0.36976438760757446, 0.5696552991867065], 1]"
10427,"[[[16.0, 0.4059263034395696, 0.012782968970444357, 2.0, 10, 0.25539757366212523, 0.0009757141039920953], 1], [[16.0, 0.6353984725155665, 0.028488889699643204, 0.0, 0, 0.622520477647291, 0.018597371418849096], 1], [], [0.07299255579710007, 0.58809894323349, 0.33890852332115173], 1]"
10428,"[[], [[32.0, 0.5173337610763094, 0.016446786810379376, 2.0, 24, 0.5022818404477375, 0.0045014344028147454], 1], [[32.0, 0.4603348628766543, 0.01124441840857133, 1.0, 15, 0.35164916712596034, 0.002849178430941277], 1], [0.8623443841934204, 0.062411319464445114, 0.07524430751800537], 1]"
10429,"[[[15.0, 0.3694539420059409, 0.019497604744995834, 1.0, 7, 0.21916887698565257, 0.003182419662358417], 1], [], [], [0.09159009903669357, 0.6183602809906006, 0.29004961252212524], 1]"
10430,"[[], [[26.0, 0.3209133147221256, 0.04247390851005083, 3.0, 15, 0.2490608167378334, 0.01810392586317252], 1], [], [0.3386940062046051, 0.5570106506347656, 0.10429535061120987], 1]"
10431,"[[], [[16.0, 0.23054937434152542, 0.10651906530476338, 2.0, 20, 0.09993800267389828, 0.014956933059575815], 1], [[16.0, 0.44826210419937, 0.06995104743270324, 0.0, 0, 0.373056051003757, -321427.12761753204], 1], [0.05791553109884262, 0.24610088765621185, 0.6959835886955261], 1]"
10432,"[[], [[19.0, 0.31259718326294983, 0.0791557295417136, 0.0, 12, 0.17385718216569448, 0.014600389911721077], 1], [[19.0, 0.506550836387005, 0.022654541754422, 1.0, 11, 0.46360437247910213, 0.007100469824165326], 1], [0.059785421937704086, 0.43668612837791443, 0.5035284757614136], 1]"
10433,"[[], [[16.0, 0.3128807812683005, 0.11390329140585495, 2.0, 10, 0.15460286616468302, 0.023116829558046264], 1], [], [0.36846089363098145, 0.3959401547908783, 0.23559895157814026], 1]"
10434,"[[[17.0, 0.3429469778892605, 0.03170556503527893, 1.0, 11, 0.17877213445021736, 0.004375685788370072], 1], [], [], [0.046850722283124924, 0.15037737786769867, 0.8027718663215637], 1]"
10435,"[[[12.0, 0.36358207796982195, 0.03888184555929047, 1.0, 15, 0.3160368973077607, 0.005084326128367137], 1], [], [], [0.4894407391548157, 0.3915914297103882, 0.11896782368421555], 1]"
10436,"[[[14.0, 0.3111407862479798, 0.0624552206510546, 4.0, 12, 0.18707880940647445, 0.00807216322606017], 1], [], [], [0.1388397067785263, 0.6483948230743408, 0.21276549994945526], 1]"
10437,"[[[17.0, 0.7988018593310264, 0.011536208419394373, 0.0, 0, 0.7937944745183857, 0.00597306019237561], 1], [], [], [0.1467219442129135, 0.6174583435058594, 0.2358197122812271], 1]"
10438,"[[[28.0, 0.6046716697310281, 0.029983943751828838, 0.0, 0, 0.5746568173258438, 0.013848287603589133], 1], [], [], [0.07225478440523148, 0.37473174929618835, 0.5530134439468384], 1]"
10439,"[[], [[10.0, 0.46192429086678705, 0.07031613409406953, 0.0, 0, 0.3834526354931672, 0.009290505070889946], 1], [], [0.06367312371730804, 0.37978240847587585, 0.5565444827079773], 1]"
10440,"[[[18.0, 0.5425963342721151, 0.03383247385158436, 0.0, 0, 0.44644254359790464, 0.009628977897741886], 1], [], [], [0.055389031767845154, 0.19951511919498444, 0.7450958490371704], 1]"
10441,"[[], [], [], [0.12867186963558197, 0.6683741807937622, 0.2029539793729782], 1]"
10442,"[[[21.0, 0.32930870530967365, 0.03314607980279759, 4.0, 26, 0.2864037117205527, 0.006366301652292285], 1], [[21.0, 0.39406113875955423, 0.020924889955003433, 0.0, 10, 0.2909151063070385, 0.00225954293296439], 1], [], [0.15913733839988708, 0.5047370791435242, 0.33612555265426636], 1]"
10443,"[[[17.0, 0.41092111181370966, 0.029521299048617503, 3.0, 13, 0.34732761658639727, 0.0063644504437357155], 1], [[17.0, 0.5609219970539446, 0.01344546899971239, 0.0, 8, 0.42751810163442233, 0.0027808881880137973], 1], [], [0.06194551661610603, 0.345948189496994, 0.592106282711029], 1]"
10444,"[[], [[17.0, 0.5664877558289045, 0.032839300037586734, 0.0, 0, 0.5318075302980204, 0.01693044577093315], 1], [], [0.16602036356925964, 0.6059170961380005, 0.22806251049041748], 1]"
10445,"[[[13.0, 0.34757133133277573, 0.029531446785475916, 1.0, 9, 0.24929544332873624, 0.004402754901646846], 1], [], [], [0.19268572330474854, 0.3624764382839203, 0.4448378384113312], 1]"
10446,"[[], [[20.0, 0.4431911258143408, 0.02210626522638084, 2.0, 8, 0.36606291706387034, 0.004688883847149078], 1], [], [0.18935272097587585, 0.43555742502212524, 0.3750898540019989], 1]"
10447,"[[], [[15.0, 0.5329691942137306, 0.049522422272723125, 0.0, 0, 0.47891260217644216, 0.015052122425039], 1], [], [0.13372360169887543, 0.7440771460533142, 0.12219922244548798], 1]"
10448,"[[], [[24.0, 0.30871895731363785, 0.08957275869861592, 0.0, 16, 0.17955105089543225, 0.02291302309985795], 1], [], [0.09008686244487762, 0.7022101283073425, 0.20770300924777985], 1]"
10449,"[[[30.0, 0.6301043857508826, 0.022362544377939858, 2.0, 2, 0.46408790622150053, 0.0047181146718186864], 1], [], [], [0.26094818115234375, 0.5567128658294678, 0.18233896791934967], 1]"
10450,"[[[16.0, 0.4255943998650712, 0.06741086186144388, 0.0, 0, 0.31870385754448216, 0.013977860478636086], 1], [[16.0, 0.3990775465369227, 0.06191577690777761, 1.0, 9, 0.3380262523743373, 0.014249973256515386], 1], [], [0.08609193563461304, 0.4211287796497345, 0.49277928471565247], 1]"
10451,"[[], [[16.0, 0.46079308844559963, 0.02031382824975296, 1.0, 13, 0.420399344576077, 0.00462018113265995], 1], [], [0.15705767273902893, 0.5309861898422241, 0.31195616722106934], 1]"
10452,"[[], [[13.0, 0.5084814506654811, 0.03803043225913497, 5.0, 11, 0.40763569354060997, 0.009228966842635963], 1], [], [0.4815348982810974, 0.4100359380245209, 0.10842914879322052], 1]"
10453,"[[], [[16.0, 0.35900143141179275, 0.09897691100509146, 0.0, 0, 0.20347542262411858, 0.02401160005749005], 1], [], [0.11956401914358139, 0.6255018711090088, 0.2549341320991516], 1]"
10454,"[[[20.0, 0.44334309740385625, 0.02666368273800034, 5.0, 15, 0.30335924954321775, 0.008248702079399041], 1], [], [], [0.2053854763507843, 0.7143282890319824, 0.08028623461723328], 1]"
10455,"[[[16.0, 0.48690136973370857, 0.020107071872862772, 0.0, 10, 0.45512238716699527, 0.003980747131817846], 1], [], [], [0.06767210364341736, 0.31993597745895386, 0.6123919486999512], 1]"
10456,"[[[17.0, 0.2313408892076805, 0.06352433623480888, 0.0, 24, 0.08990154131656271, 0.01592154007173329], 1], [], [], [0.06332148611545563, 0.3671003580093384, 0.5695781707763672], 1]"
10457,"[[], [[16.0, 0.45361479997547755, 0.05579934767468354, 0.0, 0, 0.3292173407041024, 37.69003703335996], 1], [], [0.06533009558916092, 0.23499897122383118, 0.6996709108352661], 1]"
10458,"[[], [[18.0, 0.6767063531699092, 0.020016311819576544, 0.0, 0, 0.6688983091498909, 0.008225010569838815], 0], [], [0.04875066503882408, 0.12474556267261505, 0.8265037536621094], 1]"
10459,"[[[17.0, 0.6815337831439188, 0.009467723813282033, 1.0, 1, 0.6049389098554171, 0.00485036193246439], 1], [], [], [0.05268336087465286, 0.24450325965881348, 0.7028133869171143], 1]"
10460,"[[[9.0, 0.7270931862851435, 0.012409350885793846, 0.0, 4, 0.715520139000212, 0.0007574401812629828], 1], [], [], [0.08719103783369064, 0.6635567545890808, 0.24925222992897034], 1]"
10461,"[[[16.0, 0.7615584053952273, 0.003464388033889442, 1.0, 1, 0.7375263584031034, 0.0007626825394184745], 1], [], [], [0.055194031447172165, 0.22097718715667725, 0.7238287925720215], 1]"
10462,"[[[16.0, 0.5272684602502372, 0.01609559703018848, 0.0, 8, 0.48403610886275644, 0.0024060042210604666], 1], [], [], [0.06932771950960159, 0.2392534613609314, 0.6914188265800476], 1]"
10463,"[[], [[9.0, 0.6418901136051937, 0.012022453425530268, 0.0, 2, 0.6026290684276386, 0.01004526770486487], 1], [], [0.7835881114006042, 0.06162600591778755, 0.1547858864068985], 1]"
10464,"[[[10.0, 0.27001750198727714, 0.05133827317581964, 2.0, 18, 0.11259021750104789, 0.005573902911487835], 0], [], [], [0.047398727387189865, 0.14105823636054993, 0.8115430474281311], 1]"
10465,"[[], [[12.0, 0.4542074730180953, 0.033966982022193934, 3.0, 7, 0.37136545717818903, 0.01027541632195931], 1], [], [0.050989795476198196, 0.19432853162288666, 0.7546816468238831], 1]"
10466,"[[[21.0, 0.4620966287553552, 0.008225354896023784, 1.0, 15, 0.33595716224998556, 0.001451127499912698], 1], [[21.0, 0.28962400048429504, 0.033389615674102785, 6.0, 28, 0.18286954472419822, 0.006531220490068077], 0], [], [0.27078112959861755, 0.627358078956604, 0.10186082124710083], 1]"
10467,"[[[23.0, 0.3860774274231427, 0.019191328424247703, 5.0, 15, 0.29297159868050526, 0.0023193231479930305], 1], [], [], [0.08746448904275894, 0.8043643236160278, 0.10817117989063263], 1]"
10468,"[[[11.0, 0.36253734374536706, 0.018240302860226685, 2.0, 18, 0.22081410926015377, 0.024110765319988584], 0], [], [], [0.05324293673038483, 0.42036643624305725, 0.5263906121253967], 1]"
10469,"[[], [[18.0, 0.5233102481983426, 0.04435861450452792, 0.0, 0, 0.4881993132878052, 0.011279026560350685], 1], [], [0.2123916745185852, 0.6923527121543884, 0.09525561332702637], 1]"
10470,"[[[16.0, 0.4198766625208026, 0.03494069417346423, 4.0, 16, 0.2954174761750819, 0.003177779921760362], 1], [], [], [0.09795647114515305, 0.26506128907203674, 0.636982262134552], 1]"
10471,"[[], [[17.0, 0.6952157490634396, 0.012782503435947373, 1.0, 1, 0.6602192134107028, 0.0017394281893631709], 0], [[17.0, 0.7133889956588543, 0.020892268051813368, 0.0, 0, 0.7059544293793262, 0.006287279204222304], 1], [0.0509086512029171, 0.5206804275512695, 0.42841091752052307], 1]"
10472,"[[[15.0, 0.3626161384290788, 0.02748088983000286, 4.0, 18, 0.29049070783874625, 0.003758606000204226], 1], [], [], [0.5585827827453613, 0.15214276313781738, 0.2892744243144989], 1]"
10473,"[[], [[9.0, 0.4897274696365567, 0.0543149711129089, 0.0, 2, 0.40880484206088713, 0.009935202547601515], 1], [], [0.22251561284065247, 0.6694590449333191, 0.10802531987428665], 1]"
10474,"[[], [[15.0, 0.5087906539168955, 0.040331017284495056, 0.0, 0, 0.44146436141543394, 0.015242997772212571], 1], [], [0.06943893432617188, 0.40842390060424805, 0.5221371650695801], 1]"
10475,"[[], [[13.0, 0.8211825654390983, 0.015366241370228592, 0.0, 0, 0.8184402466841812, 0.0044596296644771015], 1], [], [0.1797507405281067, 0.6915865540504456, 0.12866269052028656], 1]"
10476,"[[[16.0, 0.6560118315329625, 0.011368958345769082, 1.0, 1, 0.5205610416372548, 0.004478618081309598], 1], [], [], [0.05645949766039848, 0.20008456707000732, 0.7434559464454651], 1]"
10477,"[[[20.0, 0.35728588242008485, 0.016099868531519727, 1.0, 15, 0.21042612268874197, 0.0017912206130825], 1], [], [], [0.16809363663196564, 0.6762329339981079, 0.15567342936992645], 1]"
10478,"[[[22.0, 0.31590770965139553, 0.042275500220655855, 4.0, 14, 0.17673404033137632, 0.003986599535536407], 0], [[22.0, 0.37597486485436177, 0.018567993662711682, 0.0, 14, 0.2888559052494472, 0.0026966531130375917], 1], [], [0.10760089755058289, 0.7901827692985535, 0.10221634060144424], 1]"
10479,"[[], [[5.0, 0.6902877349943356, 0.004429607959732223, 0.0, 0, 0.5245368516071952, 0.0005787288480867579], 0], [], [0.06472428888082504, 0.1738092452287674, 0.7614664435386658], 1]"
10480,"[[[20.0, 0.6556819767246553, 0.016007828644033533, 0.0, 0, 0.5333881635310648, 0.0036855452159650567], 1], [[20.0, 0.5348015494958618, 0.008129253760974802, 3.0, 13, 0.49436456205797424, 0.0023391413378230194], 1], [], [0.05725494399666786, 0.37403610348701477, 0.5687089562416077], 1]"
10481,"[[[16.0, 0.5377352533211247, 0.010808064763361875, 3.0, 5, 0.4608246816615913, 0.008797380028409638], 1], [], [], [0.05227348208427429, 0.18193010985851288, 0.765796422958374], 1]"
10482,"[[[12.0, 0.5325399760807005, 0.010013395119960121, 3.0, 13, 0.5099414591982399, 0.002218460142206883], 1], [[12.0, 0.5869931034702353, 0.02156085651928518, 1.0, 3, 0.5141324813145433, 0.012782714378582109], 1], [], [0.13901488482952118, 0.6105886697769165, 0.2503964304924011], 1]"
10483,"[[[16.0, 0.31710057858469337, 0.020005796960661053, 3.0, 23, 0.21314788423956904, 0.0027435478735190165], 1], [], [], [0.8416606187820435, 0.13684606552124023, 0.021493328735232353], 1]"
10484,"[[], [[17.0, 0.4546294627582662, 0.050067140686407226, 0.0, 0, 0.3971125728257826, 0.025206661209779508], 1], [], [0.05346735939383507, 0.4701968729496002, 0.4763357639312744], 1]"
10485,"[[[15.0, 0.6047070996855629, 0.02030285924167351, 0.0, 8, 0.46956201258344915, 0.005163857519407426], 1], [], [], [0.05440041050314903, 0.6519380211830139, 0.29366159439086914], 1]"
10486,"[[[21.0, 0.5059989786633627, 0.055510794097298734, 0.0, 0, 0.43902883869109594, 0.011730324248723997], 1], [], [], [0.13815824687480927, 0.2544386088848114, 0.6074031591415405], 1]"
10487,"[[], [[11.0, 0.6131192469987403, 0.04003585791006697, 0.0, 0, 0.5510034303192073, 0.007669551541868424], 1], [], [0.06489240378141403, 0.370504230260849, 0.5646033883094788], 1]"
10488,"[[[16.0, 0.30349389588188197, 0.050237181961407966, 3.0, 9, 0.22955394263970122, 0.009316225077482114], 0], [[16.0, 0.5059167815647827, 0.05481251786587308, 0.0, 0, 0.47353499092336876, 0.01703642501281354], 1], [], [0.12740276753902435, 0.7445281147956848, 0.12806911766529083], 1]"
10489,"[[[10.0, 0.6294928426512827, 0.006291688692620152, 4.0, 8, 0.602154250235833, 0.001064320981918385], 1], [[10.0, 0.5869911589960297, 0.014607926358770958, 2.0, 4, 0.4214966312851631, 0.0022589942076338466], 1], [], [0.19181525707244873, 0.3944421410560608, 0.4137425720691681], 1]"
10490,"[[[16.0, 0.3577254064335015, 0.0366174684464805, 6.0, 14, 0.22637829076148547, 0.005310162079628027], 1], [], [], [0.048311829566955566, 0.26619037985801697, 0.6854978203773499], 1]"
10491,"[[[16.0, 0.30826170787930557, 0.03136303625904321, 0.0, 10, 0.16745417519245787, 0.00400401346108752], 1], [], [], [0.15619562566280365, 0.6702260971069336, 0.17357829213142395], 1]"
10492,"[[], [[8.0, 0.669948702511237, 0.015589867148206621, 1.0, 7, 0.6351586557772125, 0.004067839935885812], 1], [], [0.0566275417804718, 0.5129846334457397, 0.43038782477378845], 1]"
10493,"[[[15.0, 0.5232195923762826, 0.02645909092162829, 0.0, 6, 0.454273872034747, 0.012277583998895277], 1], [], [], [0.505229115486145, 0.3395615816116333, 0.15520928800106049], 1]"
10494,"[[[18.0, 0.6173645896041478, 0.00583607159781502, 1.0, 7, 0.5393518384628287, 0.001058756550138152], 1], [], [], [0.049077920615673065, 0.39200663566589355, 0.5589154362678528], 1]"
10495,"[[[15.0, 0.6427239532124817, 0.010293241950993839, 1.0, 1, 0.5121786757834219, 0.0020182126214792744], 1], [], [], [0.1929733157157898, 0.6892193555831909, 0.11780734360218048], 1]"
10496,"[[[14.0, 0.6981597384033008, 0.004771083892161496, 0.0, 0, 0.573261454485838, 0.0016086812496207768], 1], [], [], [0.05906156450510025, 0.26050853729248047, 0.6804299354553223], 1]"
10497,"[[[22.0, 0.8017961310105786, 0.0109460465692073, 0.0, 0, 0.7894595665234297, 0.005063690437739394], 1], [], [], [0.2872508466243744, 0.611733078956604, 0.10101606696844101], 1]"
10498,"[[], [[11.0, 0.5673629257227026, 0.0405465156871948, 0.0, 0, 0.5226536883132953, 0.011873352109499826], 1], [], [0.13016746938228607, 0.6617909669876099, 0.20804154872894287], 1]"
10499,"[[[16.0, 0.3306741007662052, 0.04018231408786241, 5.0, 17, 0.2513824862658622, 0.008556391955175909], 1], [], [], [0.057770486921072006, 0.4321099817752838, 0.5101194977760315], 1]"
10500,"[[], [], [], [0.45671549439430237, 0.31628137826919556, 0.22700312733650208], 1]"
10501,"[[], [[16.0, 0.3939209714147932, 0.07610016377042662, 0.0, 0, 0.27402380717749364, 0.021351261210060875], 1], [], [0.10046125203371048, 0.5954497456550598, 0.3040890097618103], 1]"
10502,"[[[20.0, 0.4828499681769735, 0.014042127166378598, 0.0, 8, 0.37286468453906074, 0.0013127211524898025], 1], [], [], [0.1316554844379425, 0.6313367486000061, 0.2370077669620514], 1]"
10503,"[[[15.0, 0.7053092550334613, 0.0038132103803393933, 0.0, 0, 0.6086461507551151, 0.0010457695301604977], 1], [], [], [0.05910776928067207, 0.23842911422252655, 0.7024630904197693], 1]"
10504,"[[], [[19.0, 0.5686902180787807, 0.02999694088072179, 5.0, 7, 0.4767917350256226, 0.00772134767095], 0], [], [0.05638481304049492, 0.2813869118690491, 0.6622282862663269], 1]"
10505,"[[], [[13.0, 0.4813375485500808, 0.034624385078704585, 1.0, 7, 0.43107776206553583, 0.0049132840450835024], 1], [], [0.5190369486808777, 0.3447113633155823, 0.13625168800354004], 1]"
10506,"[[[26.0, 0.7872497070418337, 0.008400555759784838, 0.0, 0, 0.77280394674004, 0.0023082135475618196], 1], [], [], [0.06573088467121124, 0.36036649346351624, 0.5739026069641113], 1]"
10507,"[[[12.0, 0.3859378215042763, 0.02758702318337311, 1.0, 13, 0.25220272945760236, 0.003673669593652148], 1], [], [], [0.06277196109294891, 0.4667956829071045, 0.4704323709011078], 1]"
10508,"[[], [], [], [0.315949022769928, 0.5978955626487732, 0.08615539968013763], 1]"
10509,"[[], [], [], [0.15314359962940216, 0.7337844371795654, 0.1130719855427742], 1]"
10510,"[[], [[12.0, 0.4515392997162865, 0.04458400643841347, 0.0, 0, 0.28411254808703196, 0.014945718750768772], 1], [], [0.04677232727408409, 0.10905716568231583, 0.8441705107688904], 1]"
10511,"[[], [[7.0, 0.6821247624382869, 0.026618672803064816, 0.0, 0, 0.6498879435155986, 0.012856324308262562], 1], [], [0.12915782630443573, 0.7549161911010742, 0.11592597514390945], 1]"
10512,"[[[16.0, 0.36733511589065115, 0.04046603717850235, 6.0, 12, 0.24090210148641722, 0.009179620876564284], 1], [], [], [0.22472867369651794, 0.5414025783538818, 0.2338687628507614], 1]"
10513,"[[[20.0, 0.36327036388440404, 0.0227282398558808, 0.0, 14, 0.25759470940096846, 0.0032828671276465397], 1], [], [], [0.0977228581905365, 0.5678027868270874, 0.3344743251800537], 1]"
10514,"[[[11.0, 0.344327858686315, 0.03248586357339108, 2.0, 14, 0.20937613140805056, 0.0031766238321205334], 1], [], [], [0.3228801488876343, 0.48819831013679504, 0.18892152607440948], 1]"
10515,"[[[14.0, 0.4235975225514107, 0.03286911940182245, 4.0, 12, 0.36001103721253297, 0.005707382954433688], 1], [], [], [0.14210301637649536, 0.5165926814079285, 0.34130430221557617], 1]"
10516,"[[[11.0, 0.5677313763132538, 0.007979755484794265, 1.0, 9, 0.48094250007284683, 0.0021689538184176457], 1], [], [], [0.1300772875547409, 0.7537826299667358, 0.11614008992910385], 1]"
10517,"[[[26.0, 0.2629474082438183, 0.03860334114747957, 5.0, 17, 0.1577532607649772, 0.004301479555796591], 1], [], [], [0.08267340809106827, 0.5537421107292175, 0.3635844886302948], 1]"
